station_id,station_name,latitude,longitude,malecount,femalecount,SUM,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,age101,age20m,age20f,age25m,age25f,age30m,age30f,age35m,age35f,age40m,age40f,age45m,age45f,age50m,age50f,age55m,age55f,age60m,age60f,age65m,age65f,age70m,age70f,age75m,age75f,age80m,age80f,age85m,age85f,age90m,age90f,age95m,age95f,age100m,age100f,age101m,age101f
167,E 39 St & 3 Ave,40.7489006,-73.97604882,51996,9842,67266,165,4175,12750,11740,7359,7661,6395,4308,3249,2727,1240,83,17,3,0,0,0,5394,138,25,3304,871,10487,2262,9549,2190,6324,1031,7003,629,5213,1181,3641,667,2633,616,2510,217,1094,144,77,6,14,3,3,0,0,0,0,0,0,0,6,0
168,W 18 St & 6 Ave,40.73971301,-73.99456405,72835,27922,107423,522,5751,17608,20004,15110,10900,10522,8469,6423,3251,1718,451,66,5,0,4,0,6619,368,148,3665,2086,11824,5773,13860,6135,11037,4064,8139,2760,8283,2234,6493,1970,4662,1755,2475,776,1562,150,400,51,49,17,3,2,0,0,3,0,0,0,12,0
173,Broadway & W 49 St,40.76064679,-73.98442659,53365,8142,76210,115,3162,9296,12054,9377,7723,6989,5801,4308,1567,445,648,28,0,0,0,0,14697,41,74,2406,756,7576,1710,10615,1435,8437,938,6911,812,6218,769,5184,611,3488,819,1398,169,406,39,638,10,28,0,0,0,0,0,0,0,0,0,19,0
174,E 25 St & 1 Ave,40.7381765,-73.97738662,40411,14659,58111,1065,5852,15979,9144,5783,5004,4110,4282,1833,910,745,307,93,4,0,0,0,3000,839,226,4515,1337,12424,3552,6163,2981,3601,2141,4064,940,2833,1277,3239,1043,991,842,791,119,674,70,178,129,93,0,2,0,0,0,0,0,0,0,4,0
195,Liberty St & Broadway,40.70905623,-74.01043382,34805,8615,54573,188,2539,6945,7455,6246,5362,4859,4476,3553,1122,562,102,15,5,0,0,4,11140,114,68,1821,718,5374,1566,5745,1708,5202,1043,4605,741,3815,1043,3538,938,3051,502,957,165,451,111,91,11,14,0,5,0,0,0,0,0,4,0,18,0
2000,Front St & Washington St,40.70255088,-73.98940236,18784,5815,33298,130,792,3116,5842,5114,3102,2731,2122,726,754,146,36,25,0,0,0,0,8662,122,7,463,329,2271,841,4226,1588,3954,1157,2540,561,2313,418,1585,537,504,222,685,69,63,83,33,3,25,0,0,0,0,0,0,0,0,0,0,0
2001,Sands St & Navy St,40.699773,-73.979927,2109,751,3554,37,181,470,402,695,230,373,89,265,129,8,0,0,0,0,0,0,675,32,2,158,23,309,161,175,227,600,79,79,151,328,45,65,24,251,14,104,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,20637,8885,39303,195,1495,5881,9001,5987,3115,2165,909,366,327,40,12,9,0,0,0,0,9801,184,9,874,618,3816,2062,5807,3167,4571,1415,2373,728,1703,459,714,195,215,150,268,59,17,23,12,0,9,0,0,0,0,0,0,0,0,0,74,0
2003,1 Ave & E 18 St,40.73381219,-73.98054421,34790,13377,51957,954,6846,12703,9264,4103,3365,3253,2807,2849,1433,208,89,55,4,0,0,0,4024,670,284,4856,1990,9228,3472,6930,2332,3280,823,2442,914,2203,1048,1851,956,1567,1282,1222,211,151,57,85,4,52,3,3,0,0,0,0,0,0,0,250,0
2004,6 Ave & Broome St,40.724399,-74.004704,33440,11655,51861,230,2348,8710,10688,6307,4992,3969,3409,2044,1873,414,150,16,0,2,2,0,6708,207,23,1441,907,6559,2148,7394,3290,5120,1169,4018,973,3135,834,2143,1266,1478,534,1428,445,364,50,138,12,14,2,0,0,0,2,0,2,0,0,0,0
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,979,197,1305,4,7,68,442,55,207,313,6,15,51,11,0,0,0,0,0,0,125,0,0,5,2,64,4,435,7,48,7,103,104,296,17,5,0,11,4,0,51,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,27832,8180,113489,218,2053,6995,7315,4670,4124,3611,3019,2305,1186,326,209,9,0,0,0,0,77449,194,20,1431,621,5140,1855,5491,1823,3571,1088,3524,600,3037,572,2249,768,1745,538,980,206,264,61,185,24,0,4,0,0,0,0,0,0,0,0,16,0
2008,Little West St & 1 Pl,40.70569254,-74.01677685,31630,11172,59262,557,2269,5572,8921,5486,4717,4893,3234,2901,3190,885,94,68,0,0,0,0,16475,364,191,1604,665,4227,1341,6872,2049,3609,1868,3693,1022,3725,1164,2410,824,1693,1208,2464,726,805,80,74,20,54,14,0,0,0,0,0,0,0,0,36,0
2009,Catherine St & Monroe St,40.71117444,-73.99682619,17929,8397,28490,470,3162,4063,3705,2733,3803,1912,2393,2199,1341,146,192,232,28,0,0,0,2110,227,238,2032,1130,2982,1080,2325,1371,1736,996,2679,1062,1036,876,1928,465,1524,675,1101,240,114,32,12,180,208,24,0,28,0,0,0,0,0,0,24,0
2010,Grand St & Greene St,40.72165481,-74.00234737,32883,13185,55180,331,3423,8657,9484,6230,4148,4451,3688,2436,1954,672,312,326,3,0,0,0,9061,245,86,2269,1146,6181,2456,6717,2751,4828,1397,3109,1038,2702,1746,2764,923,1525,910,1292,662,612,60,307,5,321,5,3,0,0,0,0,0,0,0,4,0
2012,E 27 St & 1 Ave,40.739445,-73.976806,36493,12670,52229,189,3641,12254,8943,5718,4694,4009,4171,2949,1499,896,234,42,6,0,0,0,2984,157,28,2444,1197,8908,3324,6327,2605,4169,1536,3968,726,3341,668,2616,1555,2259,690,1376,123,653,211,231,3,40,0,4,2,0,0,0,0,0,0,0,0
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,19324,5144,27094,207,1014,4079,4649,3406,2748,3533,1373,2407,909,124,37,6,0,0,0,0,2601,200,7,833,171,2937,1142,3534,1115,2783,623,2272,472,2706,827,1195,176,1933,474,802,107,101,14,24,13,3,3,0,0,0,0,0,0,0,0,0,0
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,44048,9299,64904,143,3047,9027,10068,7826,6410,5706,4566,3702,1934,714,197,21,0,0,2,0,11540,86,56,2365,682,6853,2172,8310,1753,6470,1351,5610,800,4984,721,3778,786,2942,759,1777,156,669,44,181,16,19,0,0,0,0,0,2,0,0,0,2,0
2022,E 60 St & York Ave,40.759107,-73.959223,20315,6477,30711,93,837,4270,5710,3655,3962,1922,2872,2006,951,453,53,33,0,0,0,0,3894,47,46,570,267,3111,1159,3945,1742,2670,985,3456,506,1581,341,2361,510,1332,671,744,207,424,29,46,7,26,7,0,0,0,0,0,0,0,0,0,0
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,23868,4875,31830,25,834,5628,5484,3981,3121,3671,2350,2150,981,474,46,13,0,0,0,0,3072,16,9,643,191,3983,1643,4538,945,3396,579,2769,350,3435,236,1961,389,1693,451,910,71,467,7,42,4,13,0,0,0,0,0,0,0,0,0,0,0
212,W 16 St & The High Line,40.74334935,-74.00681753,34218,9842,52758,119,1852,6564,10259,7256,4845,4255,3676,2749,1635,386,398,127,3,0,0,0,8633,80,38,1317,535,4424,2133,7621,2626,5509,1705,4108,737,3559,690,3248,426,2102,647,1425,210,303,83,388,10,127,0,0,0,0,0,0,0,0,0,5,0
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,4707,1671,11318,59,154,769,1250,866,904,1034,545,279,404,92,18,0,0,0,0,0,4940,36,23,110,44,511,258,987,263,668,198,781,123,697,337,414,131,204,75,201,203,87,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Old Fulton St,40.70277159,-73.99383605,10050,4302,39461,123,703,2143,3158,2170,1553,1616,1098,557,905,259,72,11,0,0,0,0,25093,116,7,438,263,1395,747,2290,857,1590,578,1149,404,1162,452,784,314,380,177,556,349,121,138,58,14,9,0,0,0,0,0,0,0,0,0,2,0
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,6224,1952,9483,40,341,1149,2607,1406,885,835,327,213,377,27,4,0,0,0,0,0,1270,34,6,261,78,739,407,2086,489,1035,370,624,261,650,185,259,68,158,55,357,20,15,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
223,W 13 St & 7 Ave,40.73781509,-73.99994661,48589,16030,69035,728,3022,10049,13079,8432,6427,7045,7470,4726,2351,1058,156,95,0,4,8,0,4388,653,75,2239,783,6832,3212,9499,3573,6506,1925,5074,1352,5765,1277,5727,1740,3545,1180,1767,584,779,271,125,31,72,23,0,0,0,4,4,4,0,0,0,0
224,Spruce St & Nassau St,40.71146364,-74.00552427,21680,7757,38523,522,3638,4590,4868,3812,3534,2612,2547,2161,620,290,293,18,0,0,0,2,9015,360,89,2737,901,3366,1224,3328,1539,3137,674,2737,796,1922,690,1748,799,1534,627,389,231,264,26,147,146,4,14,0,0,0,0,0,0,2,0,5,0
